UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
20250001,344,4,1,20676,5030.38,0.243296,30.3645,734,24,16,5949,14727,673,7,4264,10044
20250001,350,2,1,19660,5099.13,0.259366,34.2053,774,27,17,3980,15680,642,7,3564,10979
20250001,356,3,1,12711,4191.02,0.329716,17.1172,338,24,11,2896,9815,776,5,2852,5424
20250001,357,3,1,56382,13683,0.242685,64.3817,3933,51,39,22239,34143,1683,12,6225,27495
20250001,358,2,1,16823,7912.06,0.470312,3.32662,586,29,9,10841,5982,1318,3,2079,2694
20250001,376,1,1,98888,10710.8,0.108312,35.6931,7468,35,27,74745,24143,752,13,5650,16826
20250001,381,1,1,42503,12537,0.294968,19.3132,882,47,36,5850,36653,1666,12,7897,25135
30914025,22,4,1,13648,3641.94,0.266848,2556.54,245,11,7,2978,10670,817,7,1303,5185
30914025,32,4,1,21408,3575.9,0.167036,3051.21,723,21,12,4168,17240,1105,9,2561,9453
30914025,45,3,1,82151,11684.1,0.142227,7823.71,5320,38,44,5319,76832,1697,11,27334,62754
30914025,46,4,1,38177,4072.9,0.106685,3595.75,4422,7,10,9379,28798,3977,8,5976,19183
30914025,54,3,1,50307,10249.8,0.203745,9285.3,900,35,23,10134,40173,1989,11,12939,27650
30914025,58,2,1,91679,9502.1,0.103645,8501.79,17950,32,26,9104,82575,4171,12,30894,60781
30914025,59,3,1,44012,5951.24,0.135218,5099.97,2302,21,18,7479,36533,1178,7,16679,27163
30914025,60,4,1,49636,9681.93,0.195059,4929.92,890,27,26,4052,45584,1153,9,10287,24651
30914025,61,4,1,55626,9222.05,0.165787,7693.43,1327,32,30,5338,50288,2200,12,5591,33535
30914025,67,3,1,35459,6146.82,0.17335,5618.84,889,24,14,11370,24089,1155,8,8302,14720
30914025,68,4,1,31412,4233,0.134757,3816.94,672,19,18,3852,27560,1177,9,8767,20332
30914025,76,2,1,133931,16232.6,0.121201,14557.2,6310,56,47,5172,128759,6457,21,15447,101866
30914025,89,3,1,54776,9736.32,0.177748,6407.77,3817,23,28,4824,49952,2378,13,10774,32238
30914025,92,4,1,93209,12246.1,0.131384,10650.7,4152,48,43,6627,86582,4346,18,16278,56340
30914025,99,4,1,42940,9053.35,0.210837,5991.2,1886,36,25,7748,35192,800,14,12295,21428
30914025,127,2,1,73915,13199.7,0.17858,12798.5,2517,42,43,17145,56770,1729,14,17333,39722
30914025,129,4,1,27814,5555.18,0.199726,5110.01,1903,14,15,6614,21200,2296,9,6520,12831
30914025,138,4,1,47073,11151.4,0.236895,10233.5,2231,28,29,6471,40602,1465,13,5546,24000
30914025,139,4,1,61290,11474.4,0.187215,9608.47,2283,30,26,4823,56467,6835,13,7656,25462
30914025,141,2,1,62823,11335.7,0.180439,8267.04,8370,30,34,3104,59719,944,11,20167,43015
30914025,143,4,1,37736,7381.55,0.19561,6786.63,2668,29,19,16463,21273,1265,10,2295,11388
30914025,147,2,1,132838,15239.6,0.114723,13215.9,14172,53,41,26407,106431,8532,10,46449,86949
30914025,160,2,1,121078,16377.5,0.135264,14988.6,4840,55,51,6273,114805,1770,14,24741,91934
30914025,161,3,1,159072,22357.9,0.140552,19627.1,4424,69,53,7680,151392,2256,13,36554,122513
30914025,162,2,1,145303,15015.7,0.103341,14314.1,7496,64,58,3576,141727,5112,25,17079,106319
30914025,176,2,1,60096,9139.83,0.152087,8473.42,5799,32,28,4856,55240,1793,11,9806,43649
30914025,181,2,1,133063,14117.3,0.106095,13345.1,4040,59,34,10232,122831,5560,15,31259,97164
30914025,184,2,1,61146,7213.93,0.117979,6008.57,2996,27,26,8970,52176,4088,10,24551,38171
30914025,186,2,1,72816,10190.7,0.139951,9661.59,7396,34,30,3752,69064,2009,13,12760,54575
30914025,191,2,1,54631,8584.79,0.157141,7184.28,1588,30,29,10001,44630,2369,11,8128,27663
30914026,22,4,1,22041,3346.27,0.15182,1412.18,5114,12,9,2392,19649,946,7,1719,6072
30914026,32,3,1,31155,3284.45,0.105423,2795.91,5989,7,5,2827,28328,1330,8,4968,14106
30914026,45,4,1,52216,7149.47,0.136921,6686.4,6797,23,14,2720,49496,3257,10,8895,30214
30914026,46,3,1,57760,6044.17,0.104643,5566.1,3119,24,14,2595,55165,888,8,17378,38286
30914026,54,4,1,21776,4541.5,0.208555,4067.22,2475,11,8,3761,18015,1140,9,1039,6085
30914026,58,1,1,99223,10654,0.107374,8804.06,2162,33,32,3655,95568,6089,14,26383,52657
30914026,59,4,1,26465,3408.35,0.128787,2907.89,3036,11,5,2129,24336,1496,7,8288,14485
30914026,60,4,1,39286,3917.24,0.0997108,3457.52,9046,15,11,3814,35472,4250,8,7040,16196
30914026,61,2,1,86651,7559.79,0.0872441,6633.03,5485,22,16,5276,81375,4609,13,15639,59577
30914026,67,4,1,35849,5277.14,0.147205,3611.99,1233,12,10,6296,29553,1145,8,4911,13373
30914026,68,3,1,36104,4703.98,0.13029,3519.45,2478,14,15,3599,32505,1169,9,9088,15867
30914026,76,2,1,77129,10898.6,0.141304,8527.25,4321,27,22,6889,70240,1144,13,18616,59553
30914026,89,4,1,60214,6024.73,0.100055,5734.37,4156,21,16,11277,48937,2146,13,8669,28693
30914026,92,4,1,40911,4438.65,0.108495,2998.62,5533,16,13,5192,35719,1082,10,15320,23906
30914026,99,2,1,168675,11428,0.0677516,10553.2,13317,28,28,6804,161871,8969,21,17142,119448
30914026,127,2,1,162126,14470.3,0.0892533,12293.4,18376,38,37,13458,148668,3927,15,37175,107782
30914026,129,3,1,91776,8403.29,0.0915631,6405.23,27535,16,14,7209,84567,913,10,15983,34758
30914026,138,3,1,51192,4797.03,0.0937066,3594.44,2254,13,11,2344,48848,3314,10,8751,19200
